Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2025-02-06 12:22:01.295 +0530,"Success",0:00:00,0,0,0,"20250206_122201.295/LogFile.txt","https://www.hotstar.com/","",1
2025-02-06 12:22:23.736 +0530,"Success",0:00:00,0,0,0,"20250206_122223.736/LogFile.txt","https://www.hotstar.com/","",1
2025-02-07 10:54:00.163 +0530,"Failure",0:00:00,1,0,0,"20250207_105400.163/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'mobilenumber'",0
